canonical,name,region,type,population
United States,United States,,Country,340000000
"Alabama, United States",Alabama,,State,0
"Alaska, United States",Alaska,,State,0
"Arizona, United States",Arizona,,State,0
"Arkansas, United States",Arkansas,,State,0
"California, United States",California,,State,0
"Colorado, United States",Colorado,,State,0
"Connecticut, United States",Connecticut,,State,0
"Delaware, United States",Delaware,,State,0
"District of Columbia, United States",District of Columbia,,State,0
"Florida, United States",Florida,,State,0
"Georgia, United States",Georgia,,State,0
"Hawaii, United States",Hawaii,,State,0
"Idaho, United States",Idaho,,State,0
"Illinois, United States",Illinois,,State,0
"Indiana, United States",Indiana,,State,0
"Iowa, United States",Iowa,,State,0
"Kansas, United States",Kansas,,State,0
"Kentucky, United States",Kentucky,,State,0
"Louisiana, United States",Louisiana,,State,0
"Maine, United States",Maine,,State,0
"Maryland, United States",Maryland,,State,0
"Massachusetts, United States",Massachusetts,,State,0
"Michigan, United States",Michigan,,State,0
"Minnesota, United States",Minnesota,,State,0
"Mississippi, United States",Mississippi,,State,0
"Missouri, United States",Missouri,,State,0
"Montana, United States",Montana,,State,0
"Nebraska, United States",Nebraska,,State,0
"Nevada, United States",Nevada,,State,0
"New Hampshire, United States",New Hampshire,,State,0
"New Jersey, United States",New Jersey,,State,0
"New Mexico, United States",New Mexico,,State,0
"New York, United States",New York,,State,0
"North Carolina, United States",North Carolina,,State,0
"North Dakota, United States",North Dakota,,State,0
"Ohio, United States",Ohio,,State,0
"Oklahoma, United States",Oklahoma,,State,0
"Oregon, United States",Oregon,,State,0
"Pennsylvania, United States",Pennsylvania,,State,0
"Rhode Island, United States",Rhode Island,,State,0
"South Carolina, United States",South Carolina,,State,0
"South Dakota, United States",South Dakota,,State,0
"Tennessee, United States",Tennessee,,State,0
"Texas, United States",Texas,,State,0
"Utah, United States",Utah,,State,0
"Vermont, United States",Vermont,,State,0
"Virginia, United States",Virginia,,State,0
"Washington, United States",Washington,,State,0
"West Virginia, United States",West Virginia,,State,0
"Wisconsin, United States",Wisconsin,,State,0
"Wyoming, United States",Wyoming,,State,0
"New York City, New York, United States",New York City,New York,City,8804190
"Los Angeles, California, United States",Los Angeles,California,City,3820914
"Brooklyn, New York, United States",Brooklyn,New York,City,2736074
"Chicago, Illinois, United States",Chicago,Illinois,City,2664452
"Queens, New York, United States",Queens,New York,City,2316841
"Houston, Texas, United States",Houston,Texas,City,2314157
"Phoenix, Arizona, United States",Phoenix,Arizona,City,1650070
"Philadelphia, Pennsylvania, United States",Philadelphia,Pennsylvania,City,1573916
"San Antonio, Texas, United States",San Antonio,Texas,City,1526656
"Manhattan, New York, United States",Manhattan,New York,City,1487536
"San Diego, California, United States",San Diego,California,City,1404452
"The Bronx, New York, United States",The Bronx,New York,City,1385108
"Dallas, Texas, United States",Dallas,Texas,City,1326087
"Jacksonville, Florida, United States",Jacksonville,Florida,City,1009833
"Fort Worth, Texas, United States",Fort Worth,Texas,City,1008106
"San Jose, California, United States",San Jose,California,City,997368
"Austin, Texas, United States",Austin,Texas,City,974447
"Columbus, Ohio, United States",Columbus,Ohio,City,913175
"Charlotte, North Carolina, United States",Charlotte,North Carolina,City,911311
"Indianapolis, Indiana, United States",Indianapolis,Indiana,City,887642
"San Francisco, California, United States",San Francisco,California,City,827526
"Seattle, Washington, United States",Seattle,Washington,City,780995
"Denver, Colorado, United States",Denver,Colorado,City,729019
"Washington, District of Columbia, United States",Washington,District of Columbia,City,689545
"Nashville, Tennessee, United States",Nashville,Tennessee,City,689447
"Oklahoma City, Oklahoma, United States",Oklahoma City,Oklahoma,City,681054
"El Paso, Texas, United States",El Paso,Texas,City,678815
"Boston, Massachusetts, United States",Boston,Massachusetts,City,653833
"Portland, Oregon, United States",Portland,Oregon,City,652503
"Detroit, Michigan, United States",Detroit,Michigan,City,645705
"Las Vegas, Nevada, United States",Las Vegas,Nevada,City,641903
"New South Memphis, Tennessee, United States",New South Memphis,Tennessee,City,641608
"Memphis, Tennessee, United States",Memphis,Tennessee,City,633104
"Louisville, Kentucky, United States",Louisville,Kentucky,City,624444
"Baltimore, Maryland, United States",Baltimore,Maryland,City,585708
"South Boston, Massachusetts, United States",South Boston,Massachusetts,City,571281
"Albuquerque, New Mexico, United States",Albuquerque,New Mexico,City,564559
"Milwaukee, Wisconsin, United States",Milwaukee,Wisconsin,City,563531
"Tucson, Arizona, United States",Tucson,Arizona,City,542629
"Fresno, California, United States",Fresno,California,City,542107
"Sacramento, California, United States",Sacramento,California,City,524943
"Atlanta, Georgia, United States",Atlanta,Georgia,City,510823
"Miami, Florida, United States",Miami,Florida,City,487014
"Omaha, Nebraska, United States",Omaha,Nebraska,City,486051
"Raleigh, North Carolina, United States",Raleigh,North Carolina,City,482295
"Kansas City, Missouri, United States",Kansas City,Missouri,City,475378
"Long Beach, California, United States",Long Beach,California,City,474140
"Mesa, Arizona, United States",Mesa,Arizona,City,471825
"Staten Island, New York, United States",Staten Island,New York,City,468730
"Colorado Springs, Colorado, United States",Colorado Springs,Colorado,City,456568
"Virginia Beach, Virginia, United States",Virginia Beach,Virginia,City,454808
"Oakland, California, United States",Oakland,California,City,419267
"Tampa, Florida, United States",Tampa,Florida,City,414547
"Tulsa, Oklahoma, United States",Tulsa,Oklahoma,City,413066
"Minneapolis, Minnesota, United States",Minneapolis,Minnesota,City,410939
"Wichita, Kansas, United States",Wichita,Kansas,City,396119
"Arlington, Texas, United States",Arlington,Texas,City,388125
"Bakersfield, California, United States",Bakersfield,California,City,373640
"Cleveland, Ohio, United States",Cleveland,Ohio,City,365379
"New Orleans, Louisiana, United States",New Orleans,Louisiana,City,362701
"Aurora, Colorado, United States",Aurora,Colorado,City,359407
"Honolulu, Hawaii, United States",Honolulu,Hawaii,City,350964
"Anaheim, California, United States",Anaheim,California,City,350742
"West Raleigh, North Carolina, United States",West Raleigh,North Carolina,City,338759
"Orlando, Florida, United States",Orlando,Florida,City,334854
"Lexington, Kentucky, United States",Lexington,Kentucky,City,320347
"Riverside, California, United States",Riverside,California,City,317261
"Corpus Christi, Texas, United States",Corpus Christi,Texas,City,316239
"Lexington-Fayette, Kentucky, United States",Lexington-Fayette,Kentucky,City,314488
"Cincinnati, Ohio, United States",Cincinnati,Ohio,City,311097
"Santa Ana, California, United States",Santa Ana,California,City,310227
"Stockton, California, United States",Stockton,California,City,305658
"Pittsburgh, Pennsylvania, United States",Pittsburgh,Pennsylvania,City,304391
"Saint Paul, Minnesota, United States",Saint Paul,Minnesota,City,303176
"Lincoln, Nebraska, United States",Lincoln,Nebraska,City,294757
"Anchorage, Alaska, United States",Anchorage,Alaska,City,289600
"Ironville, Kentucky, United States",Ironville,Kentucky,City,288649
"Meads, Kentucky, United States",Meads,Kentucky,City,288649
"Henderson, Nevada, United States",Henderson,Nevada,City,285667
